title,language,director,plot
Hellgate,American,Charles Warren,hellgate prison aptly named facility desert worst criminals sent hanley veterinarian former civil war soldier falsely accused convicted crime sentenced hellish place immediately gets wrong side voorhees vicious guard redfield mean convict hanley need fight way particularly prisoners afflicted epidemic spreading plague
Bajimaat,Bengali,Haranath Chakraborty,suvra soham chakraborty lower middle class young boy dreams becoming big singer girlfriend jhilik subhasree ganguly also dreams becoming singer suvra jhilik trapped company reality show organisation suvra loses lakh rupees actually college admission fee computer engineering father cannot bear shock suffers massive heart attack save family suvra gives dream starts working tv channel ceo tv channel sanjay sen good man supports suvra hand jhilik also exploited rohit son reality show organiser rohit separates suvra jhilik ultimately sponsorship sanjay sen sacrifice jhilik suvra becomes singer bengal suvra jhilik reunited lovers
Mogudu,Telugu,Krishna Vamshi,bujji gopichand son wealthy influential farmer anjaneya prasad rajendra prasad family well knit together strong values attachments bujji comes across raja rajeshwari taapsee pannu unexpected circumstances falls love raja rajeshwari daughter powerful politician chamundeshwari roja shankar rao naresh families agree marriage everything seems nice happy unexpected circumstances cause rift scenario comes jo shraddha das madly love bujji escalates tensions rest movie whether bujji sorts differences families wins wife back
 East Side Story,American,Carlos Portugal,east side story story diego rené alvarado young closeted latino helps grandmother irene debari run family restaurant carrying relationship equally closeted pablo david berón diego long felt trapped conservative culture east la plans move away open upscale restaurant hopefully lover pablo views relationship differently point driven home begins dating diegos aunt bianca gladise jimenez time wesley boyfriend move gentrifying neighborhood attraction wesley diego immediate electric forcing men reexamine state affairs
Leatherface a.k.a. Farzande Watan,Bollywood,Vijay Bhatt,state chieftain zahur rules people despotic manner samar p jairaj becomes herobandit fight chief dons leather mask along help dog tiger horse bahadur ventures set things right also help group wayfarers dulari shirin innkeeper samar falls love chieftains sister ila mehtab following several action scenes samar able rid state tyrannical ruler marry ila
12/12/2012,American,Jared Cohn,film begins baby sebastian born sebastian viciously murders doctors delivered mother sara malakul lane realizes something seriously wrong child later revealed son devil course movie sebastian brutally murders many people tragedy strikes many others mahari jesus guevara attempts steal baby sebastians birth parents many times eventually steals sebastian order embrace evil calling police officers attempt kill mahari mahari companions use sebastian murder movie ends main characters dead deaths associated way sebastian
Wallace & Gromit: The Curse of the Were-Rabbit,British,"Steve Box, Nick Park",tottington halls annual giant vegetable competition approaching coveted golden carrot prize wallace gromit provide humane pest control business antipesto protecting townspeoples vegetables one morning wallace devises plan lose weight creates mind manipulationomatic transmit rabbits appetite vegetables minds machine malfunctions gromit destroys protect wallace however transfer appears worked test rabbit shows interest vegetables name rabbit hutch wallace begins rebuilding device night giant rabbit devours many towns vegetables wallace suspects hutch may wererabbit locks highsecurity cage town meeting victor quartermaine hunter offers shoot wererabbit lady tottington persuades townsfolk continue antipestos services victor seeks woo lady tottington corners wallace night wallace transforms wererabbit light full moon bounds away gromit lures wallace home protect victor obtains three 24carrot gold bullets town reverend use wallace contest gromit convinces wallace wererabbit wallace hides away lady tottington come like wallace visits tells victors plan moon rises wallace begins transform shoos lady tottington away victor arrives fires wallace golden bullets gromit creates distraction allow wallace wererabbit escape hunter gives chase competition gromit begins working hutch developed wallacelike traits plans use giant marrow bait lure wallace safety wallace wererabbit creates chaos fair victor grabs golden carrot trophy use ammunition wallace carries lady tottington atop tottington hall discovers wallaces connection wererabbit victor gives chase revealing wants impress lady tottington money gromit arrives victors dog philip engages dogfight aeroplanes taken fairground attraction gromit sends philips plane ground steers plane victors line fire victor fires wallace wallace jumps grabs gromit sacrifices cushion fall cheese tent victor gloats victory lady tottington hits giant carrot falls tent gromit quickly disguises victor wererabbit mob townspeople chase away wallace transforms back human self appears dead gromit uses stinking bishop cheese bring around lady tottington awards gromit golden carrot converts grounds tottington hall habitat hutch rabbits
The Old Barn Dance,American,Joseph Kane,horse trader named gene autry gene autry arrives grainville horses outfit prepared put barn dance attract potential horse buyers auction horse trading business affected lately increased use tractors replace horses farm work radio station owner sally dawson joan valerie approaches gene offers contract sing program sponsored thornton farming equipment areas leading manufacturer tractors unconvinced tractors could ever replace horses gene refuses offer still attracted invites barn dance night unknown gene sally facing bankruptcy needs find way save radio station knowing mr thornton ivan miller tractor company owner would sign contract station gene would promote product sally kid brother johnny secretly broadcast genes show sponsorship thornton farming equipment hearing broadcast audience reaction thornton agrees give sally advance genes upcoming shows thereby saving radion station later tells gene signs general contract would make enough money offset poor horse sales coming weeks sally broadcasts genes barn dances via remote control hookups presenting promotions tractor company farmers area believing gene endorsing use tractors begin purchase using loans finance company harvest time approaches however many farmers unable make payments time finance company conspiring thornton threatens repossess tractors unless farmers sign percentage harvest profits farmers given less week decide believing gene involved finance companys scheme farmers confront barn dance major fight breaks afterwards gene learns truth sally used promote tractor sales promises farmers provide horses get harvest meanwhile thornton demands sally return advance payment since gene longer performing radio show fearing fathers health option available sally agrees broadcast recordings genes barn dances continue promoting tractor company thornton learns gene men rounding horses farmers orders henchmen stampede herd stampede cowboy seriously injured later farmers hear genes voice sallys radio station suspect betrayed gene arrives realize listening recording angered deception gene heads radio station sidekick frog millhouse smiley burnette destroy records leaving station ruins later sallys kid brother johnny able restore record made thornton discussing stampede county fair gene arrives horses sheriff seizes based thorntons claim damages radio station frog uses tractor destroy thorntons platform sally johnny broadcast incriminating record thornton discussing stampede public address system thornton men arrive station sally johnny drive thornton hot pursuit gene chases cars horseback shoots one henchmen captures thornton afterwards gene sally head back town together horseback
Breaking and Entering,American,Anthony Minghella,francis jude law young englishman landscape architect living detached routinebased life london swedishamerican girlfriend liv robin wright penn autistic daughter bea 13yearold girls irregular sleeping eating habits well unsocial behaviour trouble relating people seems interested somersaults gymnastics reach worrying proportions start put lot strain livs relationship complicating situation feeling shut inner circle since bea biological daughter liv start relationship counselling drifting apart continues simultaneously business front wills partner sandys martin freeman stateoftheart offices kings cross area repeatedly burgled group slaviclanguagespeaking thieves thieves employ 15yearold traceur named mirsad miro rafi gavron whose acrobatic skills allow enter building miro actually refugee bosnia herzegovina living bosnian muslim mother amira juliette binoche works seamstress serbian father got murdered war though theyre puzzled burglars ability disable alarm two architects particularly worried first breakin mostly writing neighbourhoods dodgy reputation however second breakin decide stake building hours hoping find culprit alert police house nightly stakeouts actually suits fine allowing get away cold atmosphere household even strikes strange acquaintance eastern european prostitute named oana vera farmiga hangs around area every night spotting miro attempting break one night attempts follow pursuit leads flat miro lives mother amira realizing modest living means decides report findings police goes back amiras apartment guise suit needs mending soon becomes emotionally entangled causing reevaluate life conflict arises police close burglars must make crucial choice affect lives everyone around
Eighteen Springs,Chinese,Ann Hui,gu manzhen jacklyn wu educated girl working shanghai factory clerical assistant elder sister manlu anita mui works nightclub hostess supports family factory manzhen meets two male former classmates xu shuhui huang lei shen shijun leon lai three become firm friends manzhen falls love introverted shijun hails wealthy family nanjing working shanghai want inherit fathers merchandising business unable marry man loves manlu decides marry wealthy decadent playboy zhu hongcai ge meanwhile manzhen shijun encounter obstacles love shijuns family believing manzhens sister works sordid occupation opposes relationship tries match cousin shi cuizhi annie wu manzhen quarrels shijun two part unhappily manlu unable bear children keep husband arranges manzhenvisiting overnightto locked mansion raped zhu attracted manzhen manzhen becomes pregnant kept prisoner zhus mansion unable contact shijun shijun arrives see manzhen manlu sends away thinking manzhen rejected love social differences manzhen escapes hospital giving birth zhus son becomes schoolteacher another town time writes shijun married cuizhi cuizhi motherinlaw burn manzhens letters shijun many years later desperately ill manlu tracks manzhen ask forgiveness dies returns manzhens biological son fathered zhu hope manzhen raise manzhen still hates zhu remorseful rape decides stay sake son fourteen years parting manzhen shijun meet chance favorite restaurant shanghai two catch others lives realize hopelessly matter much still love obligations never together film flashes back shijuns search manzhens missing red glove romance began
Stage Fright,American,Jerome Sable,2004 broadway diva kylie swanson opened musical haunting opera reference reallife musical phantom opera packed audience however night murdered backstage unknown assailant wearing mask plays villain opera ghost 10 years later presentday kylies children camilla buddy grown raised roger mccall former lover kylies producer musical theater summer camp brink bankruptcy camilla hears camp producing kabuki version haunting opera decides sneak auditions one way another manages convince camper overseeing auditions joel hopton let camilla easily impresses stage director artie wins lead role sofia much buddys dismay opening day grows closer closer camilla discovers artie let perform opening day long provides sexual favors emotionally blackmails playing liz silver camper anything perform opening night camilla tries ward arties attentions making disgusts joel camilla largely ignored since audition night performance artie gives camilla ultimatum either sleeps gives opening night performance liz camilla initially acquiesces arties overtures decides last minute cant go leaves artie brutally murdered someone wearing opera ghost mask roger tells everyone artie died car accident unwilling potentially lose visit important broadway agent victor brady willing watch performance camilla performing roger manages persuade everyone perform opening night planned night joel tries warn camilla artie killed murderer still warnings go largely unheeded show begins seems well musical victor later performance opera ghost kills campers whitney sam sheila stops liz taking revenge camilla performing opening night causes gap performance cast tries fill impromptu music dancing camilla looks missing costar instead finds everincreasing number bodies camilla manages intervene discovers opera ghost trying kill roger killer revealed buddy says want camilla get involved acting world saw corrupt especially buddy tells camilla roger one kill mother jealous rage spent 10 years trying avenge mothers death wants kill whoever whos close roger roger knows truth turns violent manages free attacks buddy fatally stabs death decides kill camilia brother wants kill roger roger chases camilia throughout camp corners backstage roger kill camilia finds buzz saw kills stumbles onto stage audience initially assumes part show applauds believe finale film cuts broadway revival haunting opera camilla lead prepares backstage opera ghost lunges mirror camilla hallucination
Bhale Dongalu,Telugu,K. Vijaya Bhaskar,story begins ramu ditched yet another job interview coming home angry father father berates process ramu reveals want job rather want business father vehemently rejects idea runs away home night hand jyothi wants model make big debut beauty pageant city tells mother father grandmother head house says strong already fixed potential suitor jyothi come house next day jyothi refuses grandmother ignores parents helpless order make dream come true runs away night boards train one ramu happens train stranger offers biscuits ramu accepts awakes find luggage gone complaining officer meets jyothi whose luggage also stolen officer promises help takes whatever money service fee later realize man dupe absolutely money part separate ways ramu attempts pawn ring paid less paid jyothi goes beauty contest sent away doesnt admission ticket contest official sees makes offer pageant exchange night startled cheapness industry insults official leaves night falls finds back train station meets ramu together begin lives crime
Kan Pesum Varthaigal,Tamil,R. Balaji,mahesh mirchi senthil young unemployed man living thiruvarur enjoys hanging friends father livingston unhappy sons irresponsible lifestyle attempts suicide mahesh begins search job help friend appu kutty muruga dass finds job singapore meets janani iniya singapore citizen attempts marry order obtain citizenship truth singapore citizen
Kammatipaadam,Malayalam,Rajeev Ravi,krishnan works security firm mumbai receives call childhood friend ganga call indicates ganga danger need krishnans help later krishnan travels kerala find ganga journey krishnan recalls problems face hometown kammatti padam early 1980s krishnan primary school student befriends gangadharanganga kid belongs dalit family gangas brother balanbalettan thug involved smuggling spirit krishnan ganga introduced violence young age krishnan love anitha relative ganga later krishnan ganga balettan venu others form gang working local businessman ashaan gang involved fight krishnan kills police officer trying save ganga goes jail returns kammatti padam discover gang advanced smuggling spirit leadership surendranashaan gang creates lot enemies includes johnny krishnan discovers ganga also love anitha planning get married soonthe gang destroying homes locals leaves gangas grandfather devastated dies shock discovers grandchildren love balettan changed man grandfathers death wants stop everything one night balans wife demands go medical shop get suppliesthey accompanied ganga krishnan balettan says wants stop criminal activity simply wants live happily family kammatti padam starting travel agencyduring conversation anitha balan mentions wish see krishnan get married causes ganga balan end fight ganga gets car later balan krishnan balans wife rosamma reach nearby medical shop rosamma krishnan get car walk towards medical shop balettan intoxicated stays car moments later gets hit truck explodes leaves balettan dead ganga blames krishnan brothers death friendship torn apart later krishnan starts travel agency ganga still remains thugthe gang later learns friend sumesh johnny one planned balans murderan enraged krishnan ganga stab johnny landing trouble chased police krishnan gets arrested saving ganga meanwhile ganga marries anitha krishnan relocates mumbai present krishnan learns mishaps created ganga tries find help rosamma rosamma reveals could johnny behind gangas problems krishnan sets journey find johnny johnny paralysed ganga stabbing says aware gangas whereabouts krishnan beats johnnys gang members fight ends krishnan getting stabbed johnnys brother later krishnan left heart broken hears gangas dead body found later seeks help ashaan big business entrepreneur find real killer discover one murdered ganga ashaan reveals killed ganga due constant disturbance demands money ashaan killed krishnan kicking window high story apartment aftermath krishnan says people like ashaan corrupt city spilling blood lands profit acted sake hometown kammatti padam10
Run All Night,American,Jaume Collet-Serra,haunted past former irish mob enforcer jimmy gravedigger conlon become angry drunk son mike retired professional boxer mentors atrisk kids local gym disgusted fathers actions refuses call dad involve lives daughters jimmys old boss closest friend shawn maguire rejects offer allow sale albanian heroin territory son danny received large fee arrange deal told return money suffer consequences mike working chauffeur takes two albanian creditors dannys house deal goes bad danny reveals money brief shootout ensues kills one albanians albanian wounded stumbles dannys flat attempts escape shot dead danny events witnessed mike mentee legs captured legs phone danny spots attempts kill mike escapes jimmy mike promise expose danny mike refuses listen mike leaving jimmy spots danny trying kill son shoots fire shawn sends two corrupt police officers pick mike kill jimmy rescues takes family mike still distrusts father agrees give night fix situation jimmy meets shawn tells danny kill mike might speak cops criminal past shawn furiously says cops care nothing jimmys information tells jimmy kill mike family letting jimmy die jimmy sends mikes family remote cabin takes mike retrieve proof innocence andrew price assassin hired shawn intercepts collect evidence jimmy able subdue wounded jimmy later contacts detective harding cop able prove jimmys responsibility long list homicides harding says witnesses claim mike shooter danny jimmy makes deal prove mike innocent turn list people murdered mob career two hide house jimmys brother eddie incensed eddie reveals jimmy loyal shawn killed cousin prevent testifying shawn mike disgusted unwilling trust father mike returns family seeking end blood feud jimmy attacks shawns hideout kills gang time legs visits harding video shot murder albanians convinced harding police check ballistics dannys gun mike arrives cabin alerts police location jimmy soon arrives mike finally introduces grandchildren suddenly price returns attacks cabin fatally shooting jimmy hunting mike mike cornered price jimmy kills last second mike runs jimmy finally calls dad police arrive confirm legs evidence cleared mike jimmy dies holding list past victims promised films epilogue mike back working boxing trainer chauffeur living happily wife daughters looks wistfully photo jimmy long ago dresser heads shift
Rebel Rabbit,American,Unknown,bugs notices high bounties various animals 50 bounty 510 today foxes 75 770 today bears offended twocent bounty 021 today rabbits bugs mailed washington dc supercilious game commissioner explains bounty low foxes bears obnoxious animals damage property rabbits perfectly harmless bugs vows prove bad storms slamming game commissioners door hard glass shatters bugs begins campaign attacking guard leg billy club pulls stunts like renaming barney baruchs private bench bugs bunny paints barbershoppole stripes washington monument painting bugs bunny wuz bugs travels around rewiring lights times square read bugs bunny wuz different newspapers comment bugs actions first shuts niagara falls reveals barrels underneath bugs sells entire island manhattan back native americans shown walking wearing feathered headband smoking peace pipe asiding audience wouldnt take back unless threw set dishes afterwards bugs saws florida rest country quotes south america take away bugs wonders kind devilry commit bugs heads panama swipes locks panama canal represented actual locks quotes got em got em bugs heads arizona fills grand canyon bugs concludes campaign literally tying railroad tracks angry senator claghornesque congressman speaks united states congress demands take action bugs interrupted bugs emerges congressmans hat slaps gives mocking kiss cartoon shows liveaction footage entire war department mobilizing bugs tanks come rumbling garages soldiers pour barracks bugles blow news shown bugs satisfied 1 million bounty 10300000 today head although bounty specifically rabbits general snapped tarzan yell whole us army coming bugs dives fox hole artillery shells surround foxhole bugs quotes could carried thing far missiles explode cuts alcatraz island bugs jail cell quotes ehhh could
Watchers,American,Unknown,explosion occurs classified research laboratory causing intense fire mutated monster known oxcom outside experimental combat mammal escapes chases golden retriever lab surrounding woods dog outruns hides barn barn travis cornell corey haim girlfriend tracey lala sloatman thinking father travis leaves tracey discovers beast screams summoning father attacked meanwhile travis finds dog back car militarypolice force sweeping area escapees travis starts realize dog extraordinary decides keep meanwhile nso agent named johnson michael ironside dispatched corporation retrieve animals next morning traviss mother informs accident tracey hospital travis mother rush hospital agent johnson partner allow see travis pushes past traceys room find completely empty men claim transferred better location travis puzzled men armed home travis mother displeased dog allows keep travis shows level intelligence dog possesses bathing dog travis sees gh3 tattooed ear concludes research dog would explain superior intellect agent johnson stops travis house ask questions dog hides dog tracks travis school types ang er n computer travis given detention bringing pet school meanwhile 3 travis friends murdered oxcom woods oxcom traces dog school two staff members killed one able call police nowsuspicious sheriff policewoman arrive also killed sheriff confronts agent johnson forced tell sheriff truth regarding killer asks move quieter location away press explains scientific project gone wrong oxcom chasing dog targets kills anything comes across contact dog abruptly murders sheriff family friend fixing washing machine mentions man stopped earlier asking owned dog travis realizing nso sneaks house mother stops drive away telling together back inside find friend dead run upstairs dog locking bedroom door beast begins break mother climbs onto adjacent rooftop travis grabs hunting gun tells start truck jumps window followed dog knocked oxcom fires picks injured dog three drive veterinarian noticing code dogs ear vet calls authorities travis catches leave vets office nso agents arrive next morning agents track motel staying mother creates diversion allowing travis dog escape nso agents travis takes dog fathers old cabin woods mother insists nso agents let visit tracey although johnson claims nso protecting recovers travis mother realizes sedated tracey unharmed room medical equipment nso holding prisoner agents take women cabin use hostages travis throws homemade molotov cocktail nso agents allowing two women run cabin agent johnson fires stopped partner balks murdering woman two kids johnson reveals corporations third experiment genetically engineered assassin conscience kills partner tussle johnson travis stabbed leg knife dog jumps window onto johnson allowing travis stab neck johnson unfazed stab wound claims die anyway shot death mrs cornell armed homemade weapons team readies beast arrives travis shoots throws dog truck windshield travis follows woods finds injured sobbing first cannot bring kill attacks forced finish travis mother tracey dog regroup leave beaten truck farmhouse burns
Jwar Bhata,Bollywood,Adurthi Subba Rao,widowed wealthy durgadas prasad nazir hussain sole owner shriman mills one son falls love woman poor family disappoints durgadas asks son leave son leaves gets married soon son unfortunately durgadass son live long leaving wife son destitute durgadas change heart goes around looking son family vain years later durgadas much older expected live long recruits secretary gayetri looks relatives insist adopt distant nephew anokhey agrees gayetri bring home young man billoo operates simple dal roti restaurant durgadas jubilant verifies billoo indeed grandson throws grand party party durgadas nazir hussain passes away leaving everything billoos hands billoo changes name balraj starts look grandfathers business durgadass relatives iqbal nath daughter rekha cousin satwani son anokhey along advocate ramesh khanna conspire concoct plan plan devious entrap billoo gayetri also make loathe day met durgadas
Detective Conan: The Time-Bombed Skyscraper,American,Unknown,sorting mail dr agasas house conan finds invitation addressed jimmy leo joel famous architect jimmy calls rachel using voicechanging bowtie asks go place rachel agrees condition jimmy goes movie saturday saturday morning conan receives call strange man challenges jimmy game conan accepts challenge mystery caller gives clues leading bombs hidden tokyo conan finds destroys every one locations bombs near structures designed joel conan deduces bomber joel planned destroy inferior works create perfect new building upon arrest joel reveals location final bombs beika city building location jimmy rachels date bombs explode seal entrances exits trapping rachel others inside conan makes way collapsing building warped door blocks rachel using tie cell phone calls rachel asks look bomb rachel finds large shopping bag disarm bomb jimmy tells rachel wires cut however joel made two extra wires one red one blue one boobytrapped jimmy idea jimmy tells rachel cut either one rescue team arrives carries away jimmy realizes joel knew rachels favorite color red boobytrapped red one last minutes rachel makes desperate decision cuts blue wire red wire represents red string fate jimmy
The Wrong Trousers,British,Nick Park,eccentric inventor wallace peter sallis devised mechanism dress morning gives intelligent dog gromit pair techno trousers robotic legs take walks pay debts wallace decides advertise spare bedroom let room taken inscrutable penguin irritates gromit pushing room playing loud music penguin takes interest techno trousers seeing gromit use suction feet walk ceiling decorating gromit driven house penguin secretly rewires techno trousers radio control gromit hunts lodgings discovers wanted poster offering reward capture criminal chicken name feathers mcgraw fact chicken lodger penguin disguises rubber glove head wallaces morning routine interrupted feathers replaces clothes techno trousers sends extended test run gromit spies feathers takes measurements city museum gromit returns home discovers feathers plans steal diamond museum wallace sleeps feathers marches museum uses trousers infiltrate building uses remotely operated crane claw capture diamond triggers alarm waking wallace feathers marches back house armed gun traps gromit wardrobe gromit rewires trousers make march break open wardrobe wallace chase feathers aboard model train set wallace confiscates feathers gun frees trousers feathers train collides trousers captured bottle arrested imprisoned city zoo wallace gromit celebrate paying debts reward money techno trousers consigned dustbin walk sunset
Prema Katha Chitram,Telugu,J. Prabhakar Reddy,movie starts sudheer babu sudheer babu praveen praveen nanditha nanditha planning combined flawless suicide failures respective lives firstly try fulfill last wishes leaving world nanditha wants steal new car sudheer wants slap local mla house stealing new car slapping local mla trio flee away nearby resort escaping police resort car stolen trio enters resort food saptagiri yet another suicide aspirant joins four reach farm house praveen nanditha love sudheer plan postpone suicide 3 days prevent sudheer committing suicide due love failure plan turns successful interval 3 days four get close sudheer develops feelings nanditha hesitates tell fear humiliated end 3rd day praveen asks nanditha kiss sudheer divert death per male psychology meanwhile requests sudheer kiss nanditha wants experience first kiss dying sudheer accepts shame shyness tries kiss ghost enters body nanditha forces sudheer flabbergasted sudheer runs room whenever nanditha shows feelings sudheer sudheer reacts hugging touching ghost enters body scares sudheer away unaware ghosts entry body nanditha feels depressed night sudheer comes know nanditha nanditha hotel management student falls sudheer neighbor sudheer never observes intimacy another girl leads nanditha plan propose sudheer cost praveen wants prevent sudheer committing suicide uses opportunity plans combined suicide thus four aware going die praveen hears sudheer describing nanditha ghost rushes nandithas room scold ask apology sudheer see ghost enter body thrash night saptagiri experiences ghosts fury villainous best trio decide distance always stay together next morning try get ghost vacate nandithas body earn wrath ghost nanditha comes know ghosts presence accompanies trio escape vain nanditha observes sudheer avoiding escape wrath ghost gets deeply hurt depressed resulting suicide attempt slitting wrist three rich men enter farm house permit four stay one owner farm house sudheer reaches nanditha turn requested kill three ghost sudheer asks reason vengeance ghost narrates story trio ghost lakshmi newly married girl enters farm house husband first night three men drunk break boys head champagne bottle rape girl boy dies impaled accidentally drowning swimming pool three men bury nearby sudheer praveen saptagiri decide fight successful killing ghost leaves nandithas body trio take nearby hospital sudheer donates blood gains consciousness movie ends saptagiri praveen watching couple hugging other6
Along Came Jones,American,Stuart Heisler,easygoing melody jones gary cooper friend george fury william demarest wander town jones mistaken wanted bandit named monte jarrad dan duryea causes end trouble meanwhile real jarrad hiding home girl cherry de longpre loretta young first tries use newcomer distract townsfolk gets know jones feelings start change
Wild Side,American,Donald Cammell,bruno buckingham financier married virginia affair alex lee banker parttime hooker alex
Butter,American,Jim Field Smith,film takes place around johnson county iowa destiny shahidi tenyearold foster child iowa gets placed ethan corddry jill emmet silverstone visiting iowa state fair wanders exhibit winning butter sculpture lifesized last supper skillfully finishes holy grail cup impresses sculptures creator bob pickler burrell bob fairs buttersculpture contest past 15 years straight dominance asked abstain future competitions give others chance bobs wife laura garner overly competitive socially ambitious goes home competitions organizer protest bob goes strip club solicits stripper brooke wilde sex minivan laura discovers tbones van suv laura decides enter countys preliminary sculpture competition social status comes winning destiny decides enter well brooke wants harass picklers bob owes 600 despite practice laura comes second destiny brooke appears picklers seeking money bobs daughter kaitlin greene admits takes room talking bit kaitlin challenges brooke game truthordare escalates sex kaitlin drawn brookes alternative style attitude brooke wants money ups amount 1200 kaitlin says get meanwhile kaitlins stepmom laura hooking boyd bolton jackman old highschool boyfriend usedcar salesman shes seducing get falsely testify county officials ethan paid help destiny competition laura suggests rematch state fair destiny agrees everyone else disgruntled brooke gets money infatuated kaitlin meets destiny school takes mall buy 1200 set chefs knives help rematch laura destiny gets home social worker informs biological mother died state fair laura carves replica john f kennedys car immediately assassination complete presidents blownup skull jackie kennedy clint hill crawling onto trunk destiny creates biological mother holding infant self rocking chair night judging boyd sneaks buttersculpture room defaces destinys sculpture blowtorch destiny disappointed expecting lose encounters laura restroom offers forgiveness handshake laura tells destiny winning buttersculpting contest means little girl comprehend laura feels little opportunity distinguish otherwise destiny talent entire life realize potential despite damage destinys sculpture wins sabotage piece recognized higher art judges believe melted face lends butter sculpture greater depth destiny goes win state competition judges give positive critique piece deeming angstridden exploration postnatal abandonment upon victory destiny assures laura buttercarving contest laura kneels destiny hugs understanding must move greater triumphs later destiny officially adopted emmets laura running governor iowa claiming god appeared advised run
Friday the 13th,American,Sean S. Cunningham,summer 1958 camp crystal lake two counselors named barry claudette sneak away campfire storage barn prepare sex unseen assailant enters murders twenty one years later friday june 13 1979 newly hired counselor annie phillips asks directions reopened camp crystal lake elderly man crazy ralph warns going believing camp death curse friendly truck driver named enos agrees give annie lift halfway camp drive enos warns annie camp informing young boy drowned crystal lake 1957 two murders following year enos drops annie hitches another ride unseen assailant chases woods slashes throat camp counselors ned jack bill marcie brenda alice along owner steve christy refurbish cabins facilities thunderstorm approaches steve leaves campground stock supplies meanwhile killer arrives camp begins murder counselors one one strange incidents ned sees someone walk one cabins follows jack marcie sex one cabins bunk beds unaware neds body directly throat slit soon jack killed throat pierced arrow beneath bed killer murders marcie slamming axe face brenda hears childs voice calling help ventures outside cabin archery range range lights turn attacked offscreen steve returns camp confronted unseen killer recognizes stabbed alice bill worried friends disappearances leave main cabin investigate discover bloody axe brendas bed phones disconnected cars inoperable power goes bill goes check generator alice heads look upon finding bills body impaled arrows generator rooms door flees back main cabin hide traumatized brendas body thrown window alice sees vehicle pull rushes outside thinking steve instead greeted middleaged woman named mrs voorhees claims old friend steves alice brings inside mrs voorhees reveals son jason boy drowned 1957 blames death counselors supposed watching instead sex paying attention jasons drowning revealing killer mrs voorhees turns violent rushes toward alice bowie knife attempting kill ensuing chase alice finds annies body inside mrs voorhees car steves body hanging roof following confrontation mrs voorhees knocked alice escapes shore begins relax mrs voorhees finds attempts kill final struggle alice decapitates machete afterwards traumatized alice boards falls asleep inside canoe floats crystal lake alice awakens sees police arriving jasons decomposing body suddenly emerges drags underwater awakens hospital police officer medical staff tend asks jason officer says sign boy alice says hes still lake shown peace
Antaku Mundu Aa Taruvaata,Telugu,Mohan Krishna Indraganti,anil sumanth ashwin want settle arranged marriage mother sujatha rohini keen get married decides push hyderabad escape pressure support father rao ramesh hyderabad comes across ananya eesha falls ananya painter greeting cards designer works latha jhansi anil starts wooing ananya falls romantic charms ananya apprehensive taking relationship parents sridhar ravi babu tv serial creative head vidhya madhoobala yoga expert bitten acting bug keep arguments worries anil sets company supplying flowers ananya expresses apprehensions anil also similar worries relationship becomes boring mundane marriage question minds decide secret livein relationship see compatible rent flat 2 months condition try impress thus starts life unsure note one night ananya food poisoning menstrual period anil cant stand people ailments losing heated argument takes hospital returning home argue reconcile next morning anil ananya sex previous night worried getting pregnant fortunately ananya found risk next day couple babysit lathas son depart us emergency though find initially hard get along child days happens continue weeks ananya annoyed anil ignores indulged babys care ananya leave mumbai painting exhibition week comes know mother going divorce father winning award best vamp serial aired sridhars rival channel latha returns anil vacates flat ananya tells wants put stop livein relationship meanwhile anils father comes know betrayal done sujatha marriage shares anil anils father loved shyamala pragathi marriage opposed anils grandparents time sujatha love anils father coerced shyamala family leave town paving way marriage shyamala hospital hyderabad duo goes hospital shocked find donor required liver tissue sujatha act repentance sin separating raising level respect love hearts husband son hand sridhar filled sorrow vidya left surprise sridhar ananya vidya returns next morning hearing anils life ananya past 2 months gaining acceptance families emotional ananya reconciles anil
Homesdale,Australian,Peter Weir,several people gather homesdale hunting lodge including butcherrock singer mr kevin war veteran mr vaughan octogenarian mr levy tormented homesdales staff forced participate series games death murder true character guests starts emerge
Night of the Eagle,British,Sidney Hayers,norman taylor peter wyngarde psychology professor lecturing belief systems superstition scene wife searches frantically finds poppet left jealous work rival discovers wife tansy janet blair practising obeah referred film conjure magic learned jamaica insists charms responsible rapid advancement academic career general wellbeing firm rationalist norman angered acceptance superstition forces burn magical paraphernalia almost immediately things start go wrong female student judith stott accuses norman rape boyfriend bill mitchell threatens violence someone tries break taylors home thunderstorm tansy willing sacrifice life husbands safety almost drowns saved last minute norman giving practices despises tansy attacks knife trance norman disarms locks room limping walk attack gives norman clue person responsible ill luck university secretary flora carr margaret johnston wife lindsay whose career stalled favour normans flora uses witchcraft set fire taylor home tansy trapped inside using form auditory hypnosis loudspeaker system flora convinces norman giant stone eagle atop university chapel come life attack lindsay arrives office turns loudspeaker illusory eagle vanishes tansy escapes burning home rejoins longer skeptical husband way campus lindsay sees chapels heavy doors ajar left thus norman escape eagle insists upon securing despite floras protests waits eagle statue falls roof kills
